folio,depto,area,s07a_01,s07a_02,s07a_02e,s07a_03,s07a_03e,s07a_03a,s07a_04,s07a_05,s07a_06,s07a_06e,s07a_07,s07a_08,s07a_08e,s07a_09,s07a_09e,s07a_10,s07a_10e,s07a_11a,s07a_11b,s07a_11c,s07a_12,s07a_13,s07a_14,s07a_15,s07a_16,s07a_17,s07a_18,s07a_18e,s07a_19_1a,s07a_19_1b,s07a_19_2a,s07a_19_2b,s07a_19_3a,s07a_19_3b,s07a_19_4a,s07a_19_4ae,s07a_19_4b,s07a_20_1a,s07a_20_1b,s07a_20_2a,s07a_20_2b,s07a_20_3a,s07a_20_3b,s07a_20_4a,s07a_20_4b,s07a_20_5a,s07a_20_5ae,s07a_20_5b,s07a_21,s07a_22,s07a_22e,s07a_23,s07a_24,s07a_25,s07a_26,s07a_27,s07a_28,s07a_29,s07a_30,totper,hogar,upm,estrato,factor
261-008112-A-0211,2.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,6.0,25.0,1.0,1.0,1.0,1.0,45.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,18.0,4.0,2.0,2.0,NA,2.0,NA,NA,3.0,1.0,261-008112-A,11,169.1697235107422
261-008229-A-0021,2.0,1.0,1.0,1.0,,3.0,,NA,NA,208.0,1.0,,1.0,1.0,,5.0,,1.0,,1.0,0.0,3.0,14.0,1.0,1.0,1.0,1.0,19.0,1.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,8.0,1.0,1.0,2.0,NA,2.0,NA,NA,1.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0041,2.0,1.0,4.0,3.0,,NA,,NA,100.0,NA,1.0,,1.0,1.0,,5.0,,1.0,,5.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,100.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,3.0,2.0,2.0,NA,2.0,NA,NA,8.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0051,2.0,1.0,4.0,3.0,,NA,,NA,200.0,NA,2.0,,1.0,1.0,,3.0,,1.0,,1.0,0.0,7.0,10.0,5.0,NA,NA,1.0,20.0,1.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,18.0,1.0,1.0,2.0,NA,2.0,NA,NA,1.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0071,2.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,110.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,4.0,3.0,2.0,NA,1.0,1.0,1.0,4.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0091,2.0,1.0,1.0,1.0,,3.0,,NA,NA,250.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,35.0,1.0,1.0,1.0,1.0,80.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,6.0,5.0,2.0,NA,2.0,NA,NA,6.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0111,2.0,1.0,1.0,3.0,,NA,,NA,150.0,NA,2.0,,1.0,1.0,,1.0,,1.0,,24.0,0.0,7.0,15.0,2.0,NA,1.0,1.0,20.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,2.0,2.0,NA,2.0,NA,NA,5.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0121,2.0,1.0,1.0,7.0,,NA,,NA,NA,100.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,11.0,2.0,NA,1.0,1.0,20.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,2.0,NA,NA,3.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0141,2.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,60.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,6.0,4.0,2.0,NA,2.0,NA,NA,5.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0161,2.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,2.0,,1.0,1.0,,5.0,,1.0,,1.0,0.0,7.0,15.0,1.0,1.0,1.0,1.0,20.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,9.0,2.0,2.0,2.0,NA,2.0,NA,NA,2.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0181,2.0,1.0,1.0,1.0,,3.0,,NA,NA,250.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,45.0,1.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,15.0,4.0,2.0,2.0,NA,2.0,NA,NA,4.0,1.0,261-008229-A,11,338.3394470214844
261-008229-A-0211,2.0,1.0,1.0,3.0,,NA,,NA,100.0,NA,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,40.0,1.0,1.0,1.0,1.0,80.0,1.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,2.0,NA,NA,3.0,1.0,261-008229-A,11,338.3394470214844
261-008351-A-0021,2.0,1.0,1.0,3.0,,NA,,NA,1000.0,NA,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,29.0,1.0,1.0,1.0,1.0,350.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,3.0,3.0,2.0,NA,1.0,3.0,1.0,5.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0041,2.0,1.0,1.0,7.0,,NA,,NA,NA,500.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,15.0,1.0,1.0,2.0,1.0,35.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,50.0,2.0,2.0,2.0,NA,1.0,3.0,1.0,6.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0061,2.0,1.0,1.0,7.0,,NA,,NA,NA,900.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,15.0,1.0,1.0,2.0,1.0,80.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,1.0,200.0,2.0,,NA,1.0,3.0,,25.0,2.0,0.0,2.0,NA,1.0,3.0,1.0,4.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0091,2.0,1.0,1.0,6.0,,NA,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,19.0,1.0,1.0,1.0,1.0,37.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,25.0,1.0,0.0,2.0,NA,2.0,NA,NA,3.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0111,2.0,1.0,1.0,1.0,,3.0,,NA,NA,600.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,18.0,1.0,1.0,1.0,1.0,70.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,18.0,2.0,2.0,2.0,NA,1.0,3.0,1.0,5.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0131,2.0,1.0,1.0,1.0,,3.0,,NA,NA,700.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,120.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,25.0,3.0,3.0,2.0,NA,1.0,3.0,1.0,5.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0151,2.0,1.0,1.0,1.0,,3.0,,NA,NA,700.0,1.0,,1.0,3.0,,5.0,,1.0,,24.0,0.0,7.0,18.0,1.0,1.0,1.0,1.0,180.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,15.0,4.0,3.0,2.0,NA,1.0,3.0,4.0,4.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0171,2.0,1.0,1.0,7.0,,NA,,NA,NA,500.0,1.0,,1.0,1.0,,3.0,,1.0,,24.0,0.0,7.0,35.0,1.0,1.0,1.0,1.0,140.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,50.0,2.0,2.0,2.0,NA,1.0,3.0,1.0,3.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0191,2.0,1.0,4.0,7.0,,NA,,NA,NA,500.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,24.0,1.0,1.0,1.0,1.0,70.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,0.0,2.0,NA,1.0,1.0,1.0,2.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0221,2.0,1.0,1.0,1.0,,3.0,,NA,NA,550.0,2.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,7.0,1.0,1.0,2.0,1.0,40.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,1.0,1.0,1.0,2.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0241,2.0,1.0,4.0,7.0,,NA,,NA,NA,300.0,2.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,8.0,1.0,1.0,2.0,1.0,40.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,45.0,2.0,2.0,2.0,NA,1.0,1.0,1.0,7.0,1.0,261-008351-A,11,324.91326904296875
261-008351-A-0261,2.0,1.0,4.0,7.0,,NA,,NA,NA,300.0,2.0,,1.0,1.0,,3.0,,2.0,,24.0,0.0,7.0,7.0,1.0,1.0,2.0,1.0,40.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,1.0,1.0,1.0,3.0,1.0,261-008351-A,11,324.91326904296875
261-008471-A-0011,2.0,1.0,4.0,7.0,,NA,,NA,NA,250.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,20.0,1.0,1.0,2.0,1.0,130.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,45.0,1.0,0.0,2.0,NA,1.0,1.0,1.0,5.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0051,2.0,1.0,1.0,1.0,,4.0,,NA,NA,2500.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,18.0,1.0,1.0,1.0,1.0,150.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,1.0,1.0,1.0,3.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0101,2.0,1.0,1.0,1.0,,3.0,,NA,NA,500.0,2.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,20.0,1.0,1.0,1.0,1.0,120.0,1.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,46.0,6.0,4.0,2.0,NA,2.0,NA,NA,9.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0141,2.0,1.0,1.0,1.0,,4.0,,NA,NA,300.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,30.0,1.0,1.0,1.0,1.0,40.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,1.0,1.0,1.0,3.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0181,2.0,1.0,1.0,1.0,,3.0,,NA,NA,700.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,20.0,1.0,1.0,1.0,1.0,100.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,1.0,800.0,1.0,320.0,2.0,,NA,1.0,3.0,,45.0,3.0,2.0,2.0,NA,1.0,2.0,NA,4.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0221,2.0,1.0,1.0,7.0,,NA,,NA,NA,300.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,8.0,1.0,1.0,2.0,1.0,60.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,1.0,3.0,1.0,3.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0261,2.0,1.0,1.0,7.0,,NA,,NA,NA,350.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,10.0,1.0,1.0,2.0,1.0,60.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,1.0,3.0,4.0,2.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0301,2.0,1.0,1.0,1.0,,3.0,,NA,NA,700.0,1.0,,1.0,1.0,,3.0,,1.0,,24.0,0.0,7.0,18.0,1.0,1.0,1.0,1.0,90.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,3.0,3.0,2.0,NA,1.0,3.0,1.0,5.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0351,2.0,1.0,1.0,1.0,,3.0,,NA,NA,800.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,50.0,3.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,15.0,3.0,1.0,2.0,NA,2.0,NA,NA,3.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0391,2.0,1.0,1.0,1.0,,3.0,,NA,NA,1000.0,1.0,,2.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,15.0,1.0,1.0,1.0,1.0,85.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,16.0,7.0,3.0,2.0,NA,1.0,3.0,1.0,4.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0431,2.0,1.0,1.0,3.0,,NA,,NA,500.0,NA,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,15.0,1.0,1.0,1.0,1.0,25.0,3.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,5.0,3.0,2.0,NA,1.0,3.0,1.0,5.0,1.0,261-008471-A,11,338.4513244628906
261-008471-A-0471,2.0,1.0,1.0,1.0,,3.0,,NA,NA,500.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,15.0,1.0,1.0,1.0,1.0,40.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,10.0,3.0,2.0,2.0,NA,1.0,1.0,1.0,3.0,1.0,261-008471-A,11,338.4513244628906
261-008574-A-0011,2.0,1.0,1.0,1.0,,3.0,,NA,NA,150.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,18.0,1.0,1.0,1.0,1.0,45.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,13.0,3.0,1.0,2.0,NA,2.0,NA,NA,2.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0021,2.0,1.0,1.0,1.0,,1.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,17.0,1.0,1.0,1.0,1.0,35.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,5.0,2.0,2.0,NA,2.0,NA,NA,3.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0031,2.0,1.0,1.0,7.0,,NA,,NA,NA,200.0,1.0,,2.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,12.0,1.0,1.0,1.0,1.0,47.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,13.0,3.0,1.0,2.0,NA,2.0,NA,NA,2.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0041,2.0,1.0,1.0,1.0,,2.0,,1.0,NA,150.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,16.0,2.0,NA,1.0,1.0,30.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,16.0,3.0,2.0,2.0,NA,1.0,1.0,1.0,5.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0051,2.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,1.0,,1.0,1.0,,1.0,,1.0,,24.0,0.0,7.0,12.0,1.0,1.0,1.0,1.0,70.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,2.0,2.0,NA,2.0,NA,NA,1.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0061,2.0,1.0,1.0,1.0,,3.0,,NA,NA,180.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,18.0,1.0,1.0,1.0,1.0,40.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,4.0,4.0,2.0,NA,2.0,NA,NA,3.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0071,2.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,2.0,,1.0,1.0,,1.0,,1.0,,24.0,0.0,7.0,15.0,2.0,NA,1.0,1.0,30.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,2.0,2.0,NA,2.0,NA,NA,5.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0081,2.0,1.0,1.0,1.0,,4.0,,NA,NA,100.0,2.0,,1.0,1.0,,1.0,,1.0,,24.0,0.0,7.0,18.0,1.0,1.0,2.0,1.0,35.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,23.0,2.0,1.0,2.0,NA,2.0,NA,NA,2.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0091,2.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,1.0,,1.0,1.0,,5.0,,1.0,,2.0,0.0,1.0,20.0,2.0,NA,1.0,1.0,60.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,2.0,NA,NA,2.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0101,2.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,17.0,2.0,NA,1.0,1.0,110.0,3.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,4.0,2.0,2.0,NA,2.0,NA,NA,5.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0111,2.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,1.0,,1.0,1.0,,5.0,,1.0,,2.0,0.0,4.0,20.0,2.0,NA,1.0,1.0,20.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,3.0,3.0,2.0,NA,2.0,NA,NA,7.0,1.0,261-008574-A,11,131.9960174560547
261-008574-A-0131,2.0,1.0,1.0,1.0,,3.0,,NA,NA,80.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,28.0,2.0,NA,1.0,1.0,40.0,3.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,3.0,2.0,2.0,NA,2.0,NA,NA,4.0,1.0,261-008574-A,11,131.9960174560547
262-008670-A-0031,2.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,8.0,2.0,NA,1.0,1.0,20.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,9.0,2.0,2.0,2.0,NA,2.0,NA,NA,4.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0051,2.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,50.0,2.0,NA,1.0,1.0,70.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,45.0,4.0,4.0,2.0,NA,2.0,NA,NA,5.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0061,2.0,1.0,1.0,1.0,,3.0,,NA,NA,250.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,35.0,2.0,NA,1.0,1.0,60.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,45.0,4.0,4.0,2.0,NA,2.0,NA,NA,5.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0081,2.0,1.0,1.0,1.0,,4.0,,NA,NA,300.0,1.0,,2.0,1.0,,5.0,,1.0,,4.0,0.0,7.0,15.0,2.0,NA,1.0,1.0,60.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,2.0,2.0,NA,2.0,NA,NA,7.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0101,2.0,1.0,1.0,1.0,,3.0,,NA,NA,300.0,1.0,,1.0,1.0,,5.0,,1.0,,4.0,0.0,7.0,25.0,2.0,NA,1.0,1.0,40.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,4.0,4.0,2.0,NA,2.0,NA,NA,5.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0111,2.0,1.0,1.0,3.0,,NA,,NA,300.0,NA,1.0,,1.0,1.0,,5.0,,1.0,,3.0,0.0,7.0,12.0,2.0,NA,1.0,1.0,25.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,2.0,2.0,2.0,NA,2.0,NA,NA,3.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0131,2.0,1.0,1.0,1.0,,3.0,,NA,NA,350.0,1.0,,1.0,1.0,,5.0,,1.0,,4.0,0.0,7.0,20.0,2.0,NA,1.0,1.0,50.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,45.0,4.0,4.0,2.0,NA,2.0,NA,NA,6.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0141,2.0,1.0,1.0,7.0,,NA,,NA,NA,150.0,1.0,,1.0,1.0,,5.0,,2.0,,5.0,0.0,7.0,10.0,2.0,NA,1.0,1.0,20.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,10.0,1.0,0.0,2.0,NA,2.0,NA,NA,2.0,1.0,262-008670-A,12,247.85499572753906
262-008670-A-0161,2.0,1.0,1.0,7.0,,NA,,NA,NA,120.0,1.0,,1.0,1.0,,5.0,,2.0,,4.0,15.0,7.0,10.0,2.0,NA,1.0,1.0,25.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,9.0,2.0,1.0,2.0,NA,2.0,NA,NA,3.0,1.0,262-008670-A,12,247.85499572753906
